Module Code,Title
CS3103,Computer Networks & Protocols
CS3201,Software Engineering Project I
CS3202,Software Engineering Project II
CS3210,Parallel Computing
CS3211,Parallel and Concurrent Programming
CS3212,Programming Languages
CS3213,Software Systems Design
CS3214,Information Systems Development Project
CS3215,Software Engineering Project
CS3220,Computer Architecture
CS3223,Database Management Systems
CS3223,Database Systems Implementation
CS3225,Combinatorial Methods in Bioinformatics
CS3230,Design and Analysis of Algorithms
CS3231,Theory of Computation
CS3233,Competitive Programming
CS3234,Logic and Formal Systems
CS3235,Introduction to Computer Security
CS3235,Computer Security
CS3236,Introduction to Information Theory
CS3240,Human-Computer Interaction
CS3241,Computer Graphics
CS3242,Multimedia Technologies
CS3243,Foundations of Artificial Intelligence
CS3243,Introduction to Artificial Intelligence
CS3244,Machine Learning
CS3245,Information Retrieval
CS3246,Hypermedia and World Wide Web.
CS3246,Hypermedia and World Wide Web
CS3248,Design of Interactive Media
CS3248,Design of Interactive Systems
CS3249,Elements of User Interface Design
CS3251,Technology Strategy and Management
CS3253,Management of Information Systems
CS3254,Information Security Management
CS3261,IT Marketing
CS3264,Enterprise Resource Planning Systems
CS3265,Economics of E-Business
CS3266,E-Commerce Technologies
CS3267,Enterprise Social Systems
CS3271,Software Engineering for Reactive Systems
CS3342,Interactive Media Development Project
CS3343,Digital Media Production
CS3361,Service Science
CS4201,Interactive Systems Project I
CS4202,Interactive Systems Project II
CS4203,Game Development Project I
CS4204,Game Development Project II
CS4211,Advanced Software Engineering
CS4211,Formal Methods for Software Engineering
CS4212,Compiler Design
CS4213,Game Development
CS4214,Formal Semantics
CS4215,Programming Language Implementation
CS4216,Constraint Logic Programming
CS4217,Software Development Technologies
CS4220,Knowledge Discovery Methods in Bioinformatics
CS4221,Database Design
CS4222,Wireless Computing & Sensor Networks
CS4222,Wireless Computing and Sensor Networks
CS4223,Parallel Computer Architecture
CS4231,Parallel and Distributed Algorithms
CS4232,Theory of Computation
CS4235,Computational Geometry
CS4236,Principles of Computer Security
CS4236,Cryptography Theory and Practice
CS4237,Systems Modelling and Simulation
CS4238,Computer Security Practice
CS4241,Multimedia Information Retrieval
CS4243,Computer Vision and Pattern Recognition
CS4244,Knowledge-Based Systems
CS4246,AI Planning and Decision Making
CS4247,Image Synthesis and Computer Animation
CS4247,Graphics Rendering
CS4247,Graphics Rendering Techniques
CS4248,Natural Language Processing
CS4249,Design Of Advanced User Interfaces
CS4251,Strategic IS Planning
CS4252,"Control, Audit and Security of IS"
CS4253,Information Systems Consulting
CS4254,IS Project Management
CS4255,IT Outsourcing and Offshoring Management
CS4256,Business Intelligence Systems
CS4258,Enterprise Service Oriented Architecture
CS4259,Legal Aspects of Information Technology
CS4260,E-Commerce Business Models
CS4264,E-Commerce: B2C Applications
CS4265,Advanced Topics in E-Commerce
CS4266,IT and Customer Relationship Management
CS4267,IT and Supply Chain Management
CS4271,Critical Systems and Their Verification
CS4273,Embedded Software Design Project
CS4274,Mobile and Multimedia Networking
CS4340,Digital Special Effects
CS4341,Multimedia Technologies
CS4342,3D Modeling and Animation
CS4343,Game Development Project
CS4344,Networked and Mobile Gaming
CS4345,General Purpose Computation on GPU
CS4345,General-Purpose Computation on GPU
CS4347,Sound and Music Computing
CS4348,Interactive Systems Project
CS4361,Service Systems
CS4880,Digital Entrepreneurship
CS5205,Foundation in Programming Languages
CS5206,Foundation in Algorithms
CS5207,FOUNDATION IN OPERATING SYSTEMS
CS5208,Foundation in Database Systems
CS5209,Foundation in Logic & AI
CS5209,Foundation in Logic and AI
CS5214,Design of Optimising Compilers
CS5215,Constraint Programming
CS5218,Principles of Program Analysis
CS5219,Automated Software Validation
CS5220,Databases and The Web
CS5222,Advanced Processor Architectures
CS5222,Advanced Computer Architecture
CS5223,Distributed Systems
CS5226,Database Tuning
CS5228,Knowledge Discovery and Data Mining
CS5229,Advanced Computer Networks
CS5230,Computational Complexity
CS5231,Cryptographic Techniques & Data Security
CS5231,Systems Security
CS5232,Formal Specification & Design Techniques
CS5232,Formal Specification and Design Techniques
CS5233,Simulation and Modelling Techniques
CS5234,COMBINATORIAL AND GRAPH ALGORITHMS
CS5236,Advanced Automata Theory
CS5237,Computational Geometry and Applications
CS5238,Advanced Combinatorial Methods In Bioinformatics
CS5239,Computer System Performance Analysis
CS5240,Theory and Practice Of Multimedia
CS5240,Theoretical Foundation of Multimedia
CS5240,Theoretical Foundations in MultiMedia
CS5241,Speech Processing
CS5245,Vision And Graphics for Special Effects
CS5246,Text Processing on the Web
CS5248,Systems Support for Continuous Media
CS5249,Audio In Multimedia Systems
CS5321,Network Security And Management
CS5322,DATABASES SECURITY
CS5322,Database Security
CS5330,Randomized Algorithms
CS5340,Uncertainty Modelling in AI
CS5341,Computational Photography
CS5342,Multimedia Computing and Applications
CS5343,Advanced Computer Animation
CZ1102,Problem Solving & Computation
CZ4102,High Performance Computing
DE4201,Seminars in Sustainable Cities
DSC1007,Business Analytics - Models & Decisions
DSC2003,Management Science
DSC2006,Operations Management
DSC2008,Business Analytics - Data & Decisions
DSC3201,Supply Chain Management
DSC3202,Purchasing And Materials Management
DSC3203,Service Operations Management
DSC3213,Strategic Information Systems
DSC3214,Introduction To Optimisation
DSC3215,Stochastic Models In Management
DSC3216,Forecasting For Managerial Decisions
DSC3217,Introduction to Decision Analysis
DSC3218,Physical Distribution Management
DSC3222J,TIOSCM: Operations Strategy
DSC3222L,Dynamic Pricing & Revenue Management
DSC3224,Dynamic Pricing & Revenue Management
DSC3226,Sustainable Operations Management
DSC4211A,Sioscm:Coordination & Flexibility In Supply Chain Mgt
DSC4211B,SIOSCM: ANALYTICAL TOOLS FOR CONSULTING
DSC4211C,SIOSCM: OPERATIONS STRATEGY
DSC4211D,SIOSCM: MANAGERIAL DECISION ANALYSIS
DSC4211E,SIOSCM: Decision Models in Banking
DSC4211G,SIOSCM: Service Design
DSC4212,Managerial Decision Analysis
DSC4213,Analytical Tools for Consulting
DSC5211A,Supply Chain Coordination and Risk Management
DSC5211B,Analytical Tools for Consulting
EA1101,English For Academic Purposes (Arts)
EC1101E,Introduction to Economic Analysis
EC1301,Principles of Economics
EC2101,Microeconomic Analysis I
EC2102,Macroeconomic Analysis I
EC2104,Quantitative Methods for Economic Analysis
EC2303,Foundations for Econometrics
EC2373,Global Economic Dimensions of Singapore
EC2374,Economy of Modern China I
EC3101,Microeconomic Analysis II
EC3102,Macroeconomic Analysis II
EC3303,Econometrics I
EC3304,Econometrics II
EC3311,Mathematical Economics I
EC3312,Game Theory & Applications to Economics
EC3322,Industrial Organisation I
EC3332,Money and Banking I
EC3333,Financial Economics I
EC3341,International Economics I
EC3351,Public Finance
EC3352,Seminar in Singapore Economic Policy
EC3353,Health Economics I
EC3361,Labour Economics I
EC3371,Development Economics I
EC3373,Asean Economies
EC3381,Urban Economics
EC3382,Transport Economics I
EC3383,Environmental Economics
EC3385,Maritime and Shipping Economics
EC3396,Economic Analysis of Law I
EC4101,Microeconomic Analysis III
EC4102,Macroeconomic Analysis III
EC4303,Econometrics III
EC4332,Money and Banking II
EC4333,Financial Economics II
EC4341,International Economics II
EC4351,Public Economics
EC4361,Labour Economics II
EC4371,Development Economics II
EC4372,Technology and Innovation
EC4394,Behavioural Economics
EC4396,Economic Analysis of Law II
EC4880,Topics in Economics
EC5104,Mathematical Economics
EE1001E,Emerging Technologies in Electrical Engineering
EE2001,Project
EE2004,Electronic Devices
EE2004E,Electronic Devices
EE2005,Electronics
EE2005E,Electronics
EE2006,Digital Design
EE2006E,Digital Design
EE2007E,Microprocessor System
EE2009,Signals
EE2009E,Signals
EE2010,Systems & Control
EE2010E,Systems And Control
EE2011,Engineering Electromagnetics
EE2011E,Engineering Electromagnetics
EE2013,Matlab &Labview for Electrical Engineers
EE2020,Digital Fundamentals
EE2020E,Digital Fundamentals
EE2021,Devices and Circuits
EE2022,Electrical Energy Systems
EE2023,Signals and Systems
EE2023E,Signals and Systems
EE2024E,Programming for Computer Interfaces
EE3001,Project
EE3001E,Group Project
EE3013C,Matlab &Labview for Electrical Engineers
EE3031,Innovation & Enterprise I
EE3032,Innovation & Enterprise II
EE3101,Digital Signal Processing
EE3101E,Digital Signal Processing
EE3103,Communications
EE3103E,Communications
EE3104,Intro to RF and Microwave Sys & Circuits
EE3104C,Intro to RF and Microwave Sys & Circuits
EE3131C,Communication Systems
EE3204,Computer Communication Networks I
EE3204E,Computer Communications Networks I
EE3206,Intro To Comp Vision & Image Processing
EE3206E,Introduction To Computer Vision And Image Processing
EE3207,Computer Architecture
EE3207E,Computer Architecture
EE3208,Embedded Computer Systems Design
EE3208E,Embedded Computer Systems Design
EE3302,Industrial Control Systems
EE3302E,Industrial Control Systems
EE3304,Digital Control Systems
EE3331C,Feedback Control Systems
EE3406,Microelectronic Materials
EE3406E,Microelectronics Materials
EE3407,Analog Electronics
EE3407E,Analog Electronics
EE3408,Integrated Analog Design
EE3408C,Integrated Analog Design
EE3408E,Integrated Analog Design
EE3431C,Microelectronics Materials and Devices
EE3501,Power Electronics
EE3501C,Power Electronics
EE3501E,Power Electronics
